,XCoord,YCoord,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPE_AREA,GEOID_DATA,COMMUTE,MEDIAN_AGE,INCOME_PER,UNEMPLOYME,OCCUPATION
0,-73.91520373,40.8296335,1,36,5,17500,360050175002,Block Group 2,G5030,S,23694.0,0.0,40.8296335,-73.9152037,3e-06,15000US360050175002,-0.639810319419,-1.75477842652,-1.07468790424,-0.646496401379,-1.17258544063
1,-73.9131209,40.82454435,2,36,5,14100,360050141001,Block Group 1,G5030,S,55934.0,0.0,40.8245444,-73.9131209,6e-06,15000US360050141001,-0.264537332473,-1.25249080022,-0.783052403752,1.8537873967,-0.711750796547
2,-73.905087,40.83098161,3,36,5,14500,360050145001,Block Group 1,G5030,S,47026.0,0.0,40.8309816,-73.905087,5e-06,15000US360050145001,-0.141050067537,-0.867014249797,-0.952213799849,1.64524295422,-1.31253347622
3,-73.90806784,40.82023952,4,36,5,7500,360050075002,Block Group 2,G5030,S,109058.0,0.0,40.8202395,-73.9080678,1.2e-05,15000US360050075002,0.222996804415,-1.52115627475,-0.861590692811,-0.00973323377851,-0.83932030489
4,-73.85894671,40.89783183,5,36,5,41800,360050418001,Block Group 1,G5030,S,140793.0,0.0,40.8989195,-73.8564428,1.5e-05,15000US360050418001,-0.4585887488,0.16092321799,-0.512327928864,0.41647302369,-0.141407084986
5,-73.89265211,40.82810501,6,36,5,12500,360050125001,Block Group 1,G5030,S,99419.0,0.0,40.828105,-73.8926521,1.1e-05,15000US360050125001,-0.0368075711635,-1.76645953411,-0.942952912441,0.522876703279,-1.11180101303
6,-73.8933822,40.82536786,7,36,5,12701,360050127012,Block Group 2,G5030,S,67478.0,0.0,40.8253679,-73.8933822,7e-06,15000US360050127012,-0.707167009384,-0.53994323732,-0.958190669307,-0.677032765437,-1.11071219114
7,-73.88243707,40.82963686,8,36,5,5400,360050054003,Block Group 3,G5030,S,57695.0,0.0,40.8296369,-73.8824371,6e-06,15000US360050054003,-0.585283475162,0.125879895225,-0.897003765697,-0.775987088421,-1.10411351016
8,-73.9157266,40.80448815,9,36,5,2701,360050027011,Block Group 1,G5030,S,39342.0,0.0,40.8044882,-73.9157266,4e-06,15000US360050027011,-0.473022325221,-1.24080969263,-1.0012398139,2.13075371389,-1.0229692142
9,-73.84358989,40.88709175,10,36,5,45800,360050458001,Block Group 1,G5030,S,82449.0,0.0,40.8870918,-73.8435899,9e-06,15000US360050458001,-0.46821113308,-1.12399861674,-0.956502912484,-0.566057234347,-0.113836066968
10,-73.86882377,40.85615642,11,36,5,22401,360050224011,Block Group 1,G5030,S,35632.0,0.0,40.8561564,-73.8688238,4e-06,15000US360050224011,-0.224444064637,-0.201191117253,0.145078365333,1.61747354318,-0.681992121999
11,-72.00285796,41.03138241,12,36,103,201004,361032010044,Block Group 4,G5030,S,17091255.0,9631697.0,41.0287962,-71.9950548,0.002861,15000US361032010044,-0.795372198624,1.17717957819,0.493688261305,0.386698528677,-1.0205734423
12,-72.35126952,40.94692871,13,36,103,190707,361031907073,Block Group 3,G5030,S,12583637.0,34251.0,40.945735,-72.3577828,0.001349,15000US361031907073,-0.652640165127,1.79627828038,2.45744137079,-1.28625590983,1.51119015491
13,-72.94929298,40.86763462,14,36,103,158708,361031587083,Block Group 3,G5030,S,5049239.0,4749.0,40.8716416,-72.948312,0.00054,15000US361031587083,-0.429721595958,0.593124198765,-0.267894225542,-0.925220315704,-0.412699918338
14,-73.10530971,40.83103142,15,36,103,158502,361031585022,Block Group 2,G5030,S,765857.0,0.0,40.8310313,-73.1053096,8.2e-05,15000US361031585022,-0.703959547957,0.686573059473,0.242846478757,-0.289933457758,0.289262867368
15,-73.88360542,40.8565967,16,36,5,38900,360050389001,Block Group 1,G5030,S,48230.0,0.0,40.8565967,-73.8836054,5e-06,15000US360050389001,-0.396043250975,-1.7781406417,-1.01139877206,-0.0208108542894,-1.34443431724
16,-73.91345555,40.81749636,17,36,5,7100,360050071002,Block Group 2,G5030,S,210622.0,0.0,40.8174963,-73.9134556,2.2e-05,15000US360050071002,-0.258122409619,-1.63796735064,-0.825066215458,0.970734969161,-0.839674942269
17,-73.92442403,40.83910294,18,36,5,21100,360050211003,Block Group 3,G5030,S,42251.0,0.0,40.8391029,-73.924424,5e-06,15000US360050211003,-0.623773012285,-0.937100895328,-1.05881078878,2.17108413542,-1.29503522052
18,-73.91799643,40.83547157,19,36,5,19700,360050197001,Block Group 1,G5030,S,29094.0,0.0,40.8354716,-73.9179964,3e-06,15000US360050197001,0.271108725818,-0.890376464974,-0.910770282813,0.0689025256895,-1.26286740756
19,-72.41027732,40.86444691,20,36,103,190800,361031908004,Block Group 4,G5030,S,8548457.0,11012442.0,40.8666203,-72.407979,0.00209,15000US361031908004,-0.902822156424,1.80795938797,2.02465593038,-0.268129331026,0.0631298270122
20,-73.40874377,40.80171678,21,36,103,112206,361031122064,Block Group 4,G5030,S,565617.0,0.0,40.8017167,-73.4087438,6e-05,15000US361031122064,-0.731222970086,0.558080875999,0.574844779601,-1.28625590983,0.36315493183
21,-72.69992319,40.92058383,22,36,103,169704,361031697044,Block Group 4,G5030,S,1016646.0,0.0,40.9205839,-72.6999232,0.000109,15000US361031697044,-0.74726027722,3.59516884901,-0.336614045747,-1.28625590983,-1.37000747314
22,-72.72727152,40.91725126,23,36,103,169704,361031697045,Block Group 5,G5030,S,5072503.0,417585.0,40.9171579,-72.7271237,0.000587,15000US361031697045,-0.785749814343,1.5743372362,-0.453951912738,3.29596080915,-1.33080588003
23,-72.72297008,40.93293355,24,36,103,169704,361031697046,Block Group 6,G5030,S,7033132.0,0.0,40.9329337,-72.7229698,0.000752,15000US361031697046,-0.206803026789,1.18886068578,0.129230857419,0.47253594696,-0.556109015966
24,-72.77122323,40.84267597,25,36,103,159410,361031594103,Block Group 3,G5030,S,11877664.0,0.0,40.8426753,-72.7712233,0.001268,15000US361031594103,2.41048549756,-1.3693018761,0.20918708572,-0.736570591077,0.428086628031
25,-73.01949472,40.77157084,26,36,103,158900,361031589003,Block Group 3,G5030,S,552656.0,151701.0,40.7716312,-73.0213963,7.5e-05,15000US361031589003,-0.779334891489,0.464632015291,0.569301246647,-1.28625590983,-0.0543474891657
26,-73.62991294,41.19494187,27,36,119,12700,361190127002,Block Group 2,G5030,S,7676762.0,60760.0,41.1903951,-73.6391444,0.000831,15000US361190127002,-0.270952255327,0.511356445645,2.9395133744,-0.920722023196,1.15377818446
27,-73.84816366,40.9944064,28,36,119,10701,361190107011,Block Group 1,G5030,S,5113223.0,0.0,40.994406,-73.8481648,0.000547,15000US361190107011,0.200544574427,0.347820939406,2.37616701616,-0.616144397883,1.15320306705
28,-73.76904039,41.06343099,29,36,119,12301,361190123011,Block Group 1,G5030,S,1130108.0,0.0,41.0634306,-73.7690405,0.000121,15000US361190123011,-0.0448262247307,-0.189510009665,0.119819744666,-0.623806395682,0.394989988043
